id,name,shortName,issuer,instrumentType,ref,issued,status,binds,deadlines,url,verifiedOn
"sebi-cscrf-clarifications-2024","Clarifications to Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities","CSCRF clarifications, December 2024","SEBI","Circular","SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/184","2024-12-31","in-force","Answered the first round of queries from regulated entities.","","https://www.sebi.gov.in/legal/circulars/dec-2024/clarifications-to-cybersecurity-and-cyber-resilience-framework-cscrf-for-sebi-regulated-entities-res-_90401.html","2026-08-19"
"sebi-cscrf-extension-mar-2025","Extension towards Adoption and Implementation of Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities","First extension, March 2025","SEBI","Circular","SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2025/45","2025-03-28","in-force","Extended compliance timelines by three months, to 30 June 2025, for all REs except MIIs, KRAs and QRTAs.","compliance:2025-06-30:Extended compliance deadline for every RE except MIIs, KRAs and QRTAs.","https://www.sebi.gov.in/legal/circulars/mar-2025/extension-towards-adoption-and-implementation-of-cybersecurity-and-cyber-resilience-framework-cscrf-for-sebi-regulated-entities-res-_93146.html","2026-08-19"
"sebi-cscrf-clarifications-2025","Clarifications to Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities","CSCRF clarifications, April 2025","SEBI","Circular","SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2025/60","2025-04-30","in-force","Revised the categorisation criteria and thresholds, including for Depository Participants.","","https://www.sebi.gov.in/legal/circulars/apr-2025/clarifications-to-cybersecurity-and-cyber-resilience-framework-cscrf-for-sebi-regulated-entities-res-_93734.html","2026-08-19"
"sebi-cscrf-extension-jun-2025","Extension towards Adoption and Implementation of Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities","Second extension, June 2025","SEBI","Circular","SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2025/96","2025-06-30","in-force","Extended compliance timelines by a further two months, to 31 August 2025, for all REs except MIIs, KRAs and QRTAs.","compliance:2025-08-31:Compliance deadline extended a second time, again excluding MIIs, KRAs and QRTAs.","https://www.sebi.gov.in/legal/circulars/jun-2025/extension-towards-adoption-and-implementation-of-cybersecurity-and-cyber-resilience-framework-cscrf-for-sebi-regulated-entities-res-_94902.html","2026-08-19"
"sebi-cscrf-technical-2025","Technical Clarifications to Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities","Technical clarifications, August 2025","SEBI","Circular","SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2025/119","2025-08-28","in-force","Technical readings of the standards, issued as the principal deadline passed.","","https://www.sebi.gov.in/legal/circulars/aug-2025/technical-clarifications-to-cybersecurity-and-cyber-resilience-framework-cscrf-for-sebi-regulated-entities-res-_96329.html","2026-08-19"
"sebi-incident-portal-fire-2026","Alignment of SEBI's Cyber Incident Reporting Portal with FIRE format","SEBI incident portal — FIRE format","SEBI","Circular","HO/(449)2026-ITD-5_DIV1/I/19448/2026","2026-08-24","in-force","Every SEBI regulated entity already reporting under CSCRF. Filing moves to the Financial Stability Board’s Format for Incident Reporting Exchange, staged across initial report, intermediate updates and final closure, at https://siportal.sebi.gov.in. The six-hour and twenty-four hour clocks are unchanged.","","https://www.sebi.gov.in/legal/circulars/aug-2026/alignment-of-sebi-s-cyber-incident-reporting-portal-with-fire-format_103915.html","2026-09-03"
"sebi-it-resilience-index-2026","IT Resilience Index for Market Infrastructure Institutions (MIIs)","SEBI IT Resilience Index","SEBI","Circular","HO/47/18/11(1)2026-MRD-TPD1/I/19509/2026","2026-08-24","in-force","Market Infrastructure Institutions — stock exchanges, clearing corporations and depositories — with AMC Repo Clearing Ltd carved out by name. Half-yearly computation within 60 days of each half-year end, reported to the Standing Committee on Technology and the Governing Board.","compliance:2026-11-30:Industry Standards Forum finalises sub-parameters and measurement criteria.; compliance:2027-01-31:Standard Operating Procedures submitted to SEBI after SCOT review.; compliance:2027-02-28:ITRI framework operationalised, including the Early Warning System and real-time monitoring of service delivery.; compliance:2027-03-31:First ITRI computation submitted, for the half-year ending on this date.","https://www.sebi.gov.in/legal/circulars/aug-2026/it-resilience-index-for-market-infrastructure-institutions-miis-_103913.html","2026-09-03"
"sebi-lodr-2015","Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015","SEBI LODR","SEBI","Regulations","","2015-09-02","in-force","Every listed entity, in any sector. Reg. 30(6) sets the disclosure clocks for material events; Reg. 27(2)(ba) requires cyber incidents in the quarterly corporate governance report; Reg. 21(4) requires the Risk Management Committee to cover cyber security.","","https://www.sebi.gov.in/sebi_data/attachdocs/jul-2026/1784630770711.pdf","2026-08-18"
"irdai-cyber-2026","IRDAI Information and Cyber Security Guidelines, 2026","IRDAI Guidelines, 2026","IRDAI","Guidelines","IRDAI/GA&HR/CIR/MISC/51/4/2026","2026-04-06","in-force","All insurers, insurance intermediaries and the Insurance Information Bureau of India. Compliance required from the financial year current at issue, which opened on 1 April 2026. Supersedes the 2023 Guidelines issued under IRDAI/GA&HR/GDL/MISC/88/04/2023 of 24 April 2023.","compliance:2026-04-01:Compliance required “from the current financial year”, which opened five days before the circular was issued.","https://irdai.gov.in/en/document-detail?documentId=9189223","2026-08-18"
"ifsca-cyber-2025","Guidelines on Cyber Security and Cyber Resilience for Regulated Entities in IFSCs","IFSCA Cyber Security Guidelines, 2025","IFSCA","Guidelines","IFSCA-CSD0MSC/13/2025-DCS","2025-03-10","in-force","Any entity licensed, recognised, registered or authorised by IFSCA — the GIFT City IFSC. In force 1 April 2025. Applied on a principle of proportionality, with express exemptions that the March 2026 amendment restructured into two tiers: branches, group-only Global In-House Centres and REs with fewer than ten employees at para 21, and foreign universities, newly incorporated standalone REs with no parent, and Credit Rating Agencies at the new para 23. Both tiers are conditional and lapse on 10 March 2028 unless extended.","in-force:2025-04-01:In force.; exemption-lapse:2028-03-10:The para 21 and para 23 exemptions lapse unless extended.","https://ifsca.gov.in/Document/Legal/guidelines-on-cyber-security-and-cyber-resilience-for-regulated-entities-in-ifscs-1-10032025064412.pdf","2026-08-18"
"ifsca-cyber-amendment-2026","Amendment to the Circular titled “Guidelines on Cyber Security and Cyber Resilience for Regulated Entities in IFSCs”","IFSCA Cyber Security Guidelines Amendment, 2026","IFSCA","Circular","IFSCA-CSD0MSC/1/2026-DCS","2026-03-10","in-force","All regulated entities in the IFSCs. Amends the 2025 Guidelines rather than standing alone: it substitutes the para 21 exemption list, inserts a second exemption tier at para 23 covering foreign universities, newly incorporated standalone REs and Credit Rating Agencies, and adds an annual cyber security audit report to the para 21 conditions. In effect immediately on issue.","in-force:2026-03-10:In effect immediately on issue.","https://ifsca.gov.in/CommonDirect/GetFileView?id=d575554ec59b09e7fde503d3a830d088&fileName=Cyber_Security_Guidelines__Amendment__Circular_Final_100326_v04_20260310_0107.pdf&TitleName=Legal","2026-08-31"
"ifsca-cyber-mii-2026","Guidelines on Cyber Security and Cyber Resilience for Market Infrastructure Institutions (MIIs) in IFSC","IFSCA MII Cyber Security Guidelines, 2026","IFSCA","Guidelines","IFSCA-CSD/MSC/2/2026-DCS","2026-04-20","in-force","Stock exchanges including the bullion exchange, clearing corporations and depositories in the IFSC. A prescriptive regime layered on top of the 2025 baseline Guidelines rather than replacing them, so an MII complies with both. Issued 20 April 2026 but in force from 1 April 2026.","in-force:2026-04-01:In force — twenty days before the Guidelines were issued.; compliance:2028-04-20:ISO 27001 certification, measured two years from issuance.","https://ifsca.gov.in/CommonDirect/GetFileView?id=d575554ec59b09e7fde503d3a8d614a8&fileName=Circular_Guidelines_CSCR_MIIs_20042026_20260420_0617.pdf&TitleName=Legal","2026-08-31"
"ifsca-cyber-ai-advisory-2026","Advisory on Heightened Cyber Security Risks arising from Frontier Artificial Intelligence Models","IFSCA Frontier AI Cyber Advisory, 2026","IFSCA","Circular","IFSCA-CSD/MSC/3/2026-DCS","2026-06-04","in-force","All regulated entities in the IFSCs, read alongside the 2025 Guidelines and, for an MII, the 2026 MII Guidelines — it expressly dilutes neither. Titled an advisory, but six of the eleven Annexure A items are drafted with “shall”: SBOM coverage, an API inventory with rate-limiting, frontier AI as a named board-level risk scenario, and critical-service-provider assurance among them.","in-force:2026-06-04:In force with immediate effect.","https://ifsca.gov.in/CommonDirect/GetFileView?id=91427247c5628a865846d173bc9cc2f5&fileName=Advisory_on_Heightened_Cyber_Security_Risks_arising_from_Frontier_Artificial_Intelligence_Models_20260604_0359.pdf&TitleName=Legal","2026-08-31"
"cert-in-2022","CERT-In Directions under sub-section (6) of section 70B of the Information Technology Act, 2000","CERT-In Directions, 2022","CERT-In","Directions","No. 20(3)/2022-CERT-In","2022-04-28","in-force","Service providers, intermediaries, data centres, body corporates and government organisations. Cyber incidents reportable within six hours of noticing them.","in-force:2022-06-27:In force, sixty days after issue.","https://www.cert-in.org.in/PDF/CERT-In_Directions_70B_28.04.2022.pdf","2026-08-18"
"dpdp-rules-2025","Digital Personal Data Protection Rules, 2025","DPDP Rules, 2025","MeitY","Rules","G.S.R. 846(E)","2025-11-13","partly-in-force","Data Fiduciaries processing digital personal data. Phased, with full compliance required by 13 May 2027.","compliance:2027-05-13:Full compliance with the Rules.","https://www.meity.gov.in/static/uploads/2025/11/53450e6e5dc0bfa85ebd78686cadad39.pdf","2026-08-19"
